sub-9001	25.0
sub-9002	70.0
sub-9003	70.0
sub-9004	70.0
sub-9005	70.0
sub-9007	25.0
sub-9008	70.0
sub-9009	70.0
sub-9011	70.0
sub-9012	25.0
sub-9013	25.0
sub-9014	70.0
sub-9016	25.0
sub-9017	25.0
sub-9018	25.0
sub-9019	25.0
sub-9020	70.0
sub-9022	25.0
sub-9023	70.0
sub-9025	70.0
sub-9026	70.0
sub-9028	25.0
sub-9029	70.0
sub-9032	70.0
sub-9033	70.0
sub-9034	25.0
sub-9035	25.0
sub-9036	70.0
sub-9037	25.0
sub-9038	70.0
sub-9039	70.0
sub-9040	70.0
sub-9041	25.0
sub-9042	25.0
sub-9044	25.0
sub-9045	70.0
sub-9046	70.0
sub-9047	70.0
sub-9048	70.0
sub-9049	70.0
sub-9050	25.0
sub-9053	25.0
sub-9054	70.0
sub-9055	25.0
sub-9056	25.0
sub-9057	25.0
sub-9058	70.0
sub-9059	25.0
sub-9061	25.0
sub-9062	25.0
sub-9063	25.0
sub-9064	70.0
sub-9065	70.0
sub-9066	25.0
sub-9067	25.0
sub-9068	25.0
sub-9069	70.0
sub-9070	25.0
sub-9071	25.0
sub-9072	25.0
sub-9073	25.0
sub-9074	25.0
sub-9075	70.0
sub-9076	25.0
sub-9077	25.0
sub-9078	25.0
sub-9079	70.0
sub-9080	25.0
sub-9081	25.0
sub-9082	25.0
sub-9083	25.0
sub-9084	25.0
sub-9085	25.0
sub-9086	70.0
sub-9087	70.0
sub-9088	25.0
sub-9089	70.0
sub-9090	25.0
sub-9091	25.0
sub-9092	25.0
sub-9093	70.0
sub-9094	70.0
sub-9095	70.0
sub-9096	70.0
sub-9098	70.0
sub-9100	25.0
