region,hemi
17Networks_LH_ContB_PFClv_3,left
17Networks_LH_ContB_PFCmp_1,left
17Networks_LH_ContC_pCun_1,left
17Networks_LH_ContC_pCun_2,left
17Networks_LH_ContC_pCun_3,left
17Networks_LH_ContC_Cingp_1,left
17Networks_LH_ContC_Cingp_2,left
17Networks_LH_DefaultA_IPL_1,left
17Networks_LH_DefaultA_IPL_2,left
17Networks_LH_DefaultA_PFCd_1,left
17Networks_LH_DefaultA_PFCd_2,left
17Networks_LH_DefaultA_PFCd_3,left
17Networks_LH_DefaultA_pCunPCC_1,left
17Networks_LH_DefaultA_pCunPCC_2,left
17Networks_LH_DefaultA_pCunPCC_3,left
17Networks_LH_DefaultA_pCunPCC_4,left
17Networks_LH_DefaultA_pCunPCC_5,left
17Networks_LH_DefaultA_pCunPCC_6,left
17Networks_LH_DefaultA_pCunPCC_7,left
17Networks_LH_DefaultA_PFCm_1,left
17Networks_LH_DefaultA_PFCm_2,left
17Networks_LH_DefaultA_PFCm_3,left
17Networks_LH_DefaultA_PFCm_4,left
17Networks_LH_DefaultA_PFCm_5,left
17Networks_LH_DefaultA_PFCm_6,left
17Networks_LH_DefaultB_Temp_1,left
17Networks_LH_DefaultB_Temp_2,left
17Networks_LH_DefaultB_Temp_3,left
17Networks_LH_DefaultB_Temp_4,left
17Networks_LH_DefaultB_Temp_5,left
17Networks_LH_DefaultB_Temp_6,left
17Networks_LH_DefaultB_IPL_1,left
17Networks_LH_DefaultB_IPL_2,left
17Networks_LH_DefaultB_PFCd_1,left
17Networks_LH_DefaultB_PFCd_2,left
17Networks_LH_DefaultB_PFCd_3,left
17Networks_LH_DefaultB_PFCd_4,left
17Networks_LH_DefaultB_PFCd_5,left
17Networks_LH_DefaultB_PFCd_6,left
17Networks_LH_DefaultB_PFCl_1,left
17Networks_LH_DefaultB_PFCl_2,left
17Networks_LH_DefaultB_PFCv_1,left
17Networks_LH_DefaultB_PFCv_2,left
17Networks_LH_DefaultB_PFCv_3,left
17Networks_LH_DefaultB_PFCv_4,left
17Networks_LH_DefaultB_PFCv_5,left
17Networks_LH_DefaultC_IPL_1,left
17Networks_LH_DefaultC_Rsp_1,left
17Networks_LH_DefaultC_Rsp_2,left
17Networks_LH_DefaultC_Rsp_3,left
17Networks_LH_DefaultC_PHC_1,left
17Networks_LH_DefaultC_PHC_2,left
17Networks_LH_DefaultC_PHC_3,left
17Networks_LH_TempPar_1,left
17Networks_LH_TempPar_2,left
17Networks_LH_TempPar_3,left
17Networks_LH_TempPar_4,left
17Networks_LH_TempPar_5,left
17Networks_LH_TempPar_6,left
AMY-lh,left
pTHA-lh,left
aTHA-lh,left
NAc-lh,left
GP-lh,left
PUT-lh,left
CAU-lh,left
HIP-head-lh,left
HIP-body-lh,left
HIP-tail-lh,left
17Networks_RH_VisCent_ExStr_1,right
17Networks_RH_VisCent_ExStr_2,right
17Networks_RH_VisCent_ExStr_3,right
17Networks_RH_VisCent_ExStr_4,right
17Networks_RH_VisCent_ExStr_5,right
17Networks_RH_VisCent_ExStr_6,right
17Networks_RH_VisCent_Striate_1,right
17Networks_RH_VisCent_ExStr_7,right
17Networks_RH_VisCent_ExStr_8,right
17Networks_RH_VisCent_ExStr_9,right
17Networks_RH_VisCent_ExStr_10,right
17Networks_RH_VisCent_ExStr_11,right
17Networks_RH_VisPeri_ExStrInf_1,right
17Networks_RH_VisPeri_ExStrInf_2,right
17Networks_RH_VisPeri_ExStrInf_3,right
17Networks_RH_VisPeri_ExStrInf_4,right
17Networks_RH_VisPeri_ExStrInf_5,right
17Networks_RH_VisPeri_StriCal_1,right
17Networks_RH_VisPeri_StriCal_2,right
17Networks_RH_VisPeri_ExStrSup_1,right
17Networks_RH_VisPeri_ExStrSup_2,right
17Networks_RH_VisPeri_ExStrSup_3,right
17Networks_RH_VisPeri_ExStrSup_4,right
17Networks_RH_SomMotA_1,right
17Networks_RH_SomMotA_2,right
17Networks_RH_SomMotA_3,right
17Networks_RH_SomMotA_4,right
17Networks_RH_SomMotA_5,right
17Networks_RH_SomMotA_6,right
17Networks_RH_SomMotA_7,right
17Networks_RH_SomMotA_8,right
17Networks_RH_SomMotA_9,right
17Networks_RH_SomMotA_10,right
17Networks_RH_SomMotA_11,right
17Networks_RH_SomMotA_12,right
17Networks_RH_SomMotA_13,right
17Networks_RH_SomMotA_14,right
17Networks_RH_SomMotA_15,right
17Networks_RH_SomMotA_16,right
17Networks_RH_SomMotA_17,right
17Networks_RH_SomMotA_18,right
17Networks_RH_SomMotA_19,right
17Networks_RH_SomMotA_20,right
17Networks_RH_SomMotB_Aud_1,right
17Networks_RH_SomMotB_Aud_2,right
17Networks_RH_SomMotB_Ins_1,right
17Networks_RH_SomMotB_S2_1,right
17Networks_RH_SomMotB_S2_2,right
17Networks_RH_SomMotB_Aud_3,right
17Networks_RH_SomMotB_S2_3,right
17Networks_RH_SomMotB_S2_4,right
17Networks_RH_SomMotB_S2_5,right
17Networks_RH_SomMotB_S2_6,right
17Networks_RH_SomMotB_S2_7,right
17Networks_RH_SomMotB_S2_8,right
17Networks_RH_SomMotB_Cent_1,right
17Networks_RH_SomMotB_Cent_2,right
17Networks_RH_SomMotB_Cent_3,right
17Networks_RH_DorsAttnA_TempOcc_1,right
17Networks_RH_DorsAttnA_TempOcc_2,right
17Networks_RH_DorsAttnA_TempOcc_3,right
17Networks_RH_DorsAttnA_ParOcc_1,right
17Networks_RH_DorsAttnA_ParOcc_2,right
17Networks_RH_DorsAttnA_ParOcc_3,right
17Networks_RH_DorsAttnA_SPL_1,right
17Networks_RH_DorsAttnA_SPL_2,right
17Networks_RH_DorsAttnA_SPL_3,right
17Networks_RH_DorsAttnA_SPL_4,right
17Networks_RH_DorsAttnA_SPL_5,right
17Networks_RH_DorsAttnA_SPL_6,right
17Networks_RH_DorsAttnA_SPL_7,right
17Networks_RH_DorsAttnA_SPL_8,right
17Networks_RH_DorsAttnB_TempOcc_1,right
17Networks_RH_DorsAttnB_PostC_1,right
17Networks_RH_DorsAttnB_PostC_2,right
17Networks_RH_DorsAttnB_PostC_3,right
17Networks_RH_DorsAttnB_PostC_4,right
17Networks_RH_DorsAttnB_PostC_5,right
17Networks_RH_DorsAttnB_PostC_6,right
17Networks_RH_DorsAttnB_PostC_7,right
17Networks_RH_DorsAttnB_PostC_8,right
17Networks_RH_DorsAttnB_FEF_1,right
17Networks_RH_DorsAttnB_FEF_2,right
17Networks_RH_DorsAttnB_FEF_3,right
17Networks_RH_SalVentAttnA_ParOper_1,right
17Networks_RH_SalVentAttnA_ParOper_2,right
17Networks_RH_SalVentAttnA_ParOper_3,right
17Networks_RH_SalVentAttnA_PrC_1,right
17Networks_RH_SalVentAttnA_Ins_1,right
17Networks_RH_SalVentAttnA_Ins_2,right
17Networks_RH_SalVentAttnA_Ins_3,right
17Networks_RH_SalVentAttnA_Ins_4,right
17Networks_RH_SalVentAttnA_FrOper_1,right
17Networks_RH_SalVentAttnA_FrOper_2,right
17Networks_RH_SalVentAttnA_FrOper_3,right
17Networks_RH_SalVentAttnA_FrMed_1,right
17Networks_RH_SalVentAttnA_ParMed_1,right
17Networks_RH_SalVentAttnA_ParMed_2,right
17Networks_RH_SalVentAttnA_FrMed_2,right
17Networks_RH_SalVentAttnA_ParMed_3,right
17Networks_RH_SalVentAttnA_ParMed_4,right
17Networks_RH_SalVentAttnA_FrMed_3,right
17Networks_RH_SalVentAttnA_FrMed_4,right
17Networks_RH_SalVentAttnB_IPL_1,right
17Networks_RH_SalVentAttnB_PFClv_1,right
17Networks_RH_SalVentAttnB_PFCl_1,right
17Networks_RH_SalVentAttnB_PFCl_2,right
17Networks_RH_SalVentAttnB_PFCl_3,right
17Networks_RH_SalVentAttnB_Ins_1,right
17Networks_RH_SalVentAttnB_Ins_2,right
17Networks_RH_SalVentAttnB_PFCmp_1,right
17Networks_RH_SalVentAttnB_PFCmp_2,right
17Networks_RH_LimbicB_OFC_1,right
17Networks_RH_LimbicB_OFC_2,right
17Networks_RH_LimbicB_OFC_3,right
17Networks_RH_LimbicB_OFC_4,right
17Networks_RH_LimbicB_OFC_5,right
17Networks_RH_LimbicB_OFC_6,right
17Networks_RH_LimbicA_TempPole_1,right
17Networks_RH_LimbicA_TempPole_2,right
17Networks_RH_LimbicA_TempPole_3,right
17Networks_RH_LimbicA_TempPole_4,right
17Networks_RH_LimbicA_TempPole_5,right
17Networks_RH_LimbicA_TempPole_6,right
17Networks_RH_ContA_IPS_1,right
17Networks_RH_ContA_IPS_2,right
17Networks_RH_ContA_IPS_3,right
17Networks_RH_ContA_IPS_4,right
17Networks_RH_ContA_PFCd_1,right
17Networks_RH_ContA_PFCl_1,right
17Networks_RH_ContA_PFCl_2,right
17Networks_RH_ContA_PFCl_3,right
17Networks_RH_ContA_PFCl_4,right
17Networks_RH_ContA_PFCl_5,right
17Networks_RH_ContA_Cingm_1,right
17Networks_RH_ContB_Temp_1,right
17Networks_RH_ContB_Temp_2,right
17Networks_RH_ContB_IPL_1,right
17Networks_RH_ContB_IPL_2,right
17Networks_RH_ContB_IPL_3,right
17Networks_RH_ContB_IPL_4,right
17Networks_RH_ContB_PFCld_1,right
17Networks_RH_ContB_PFCld_2,right
17Networks_RH_ContB_PFCld_3,right
17Networks_RH_ContB_PFCld_4,right
17Networks_RH_ContB_PFClv_1,right
17Networks_RH_ContB_PFClv_2,right
17Networks_RH_ContB_PFClv_3,right
17Networks_RH_ContB_PFClv_4,right
17Networks_RH_ContB_PFCmp_1,right
17Networks_RH_ContC_pCun_1,right
17Networks_RH_ContC_pCun_2,right
17Networks_RH_ContC_pCun_3,right
17Networks_RH_ContC_pCun_4,right
17Networks_RH_ContC_pCun_5,right
17Networks_RH_ContC_Cingp_1,right
17Networks_RH_ContC_Cingp_2,right
17Networks_RH_DefaultA_Temp_1,right
17Networks_RH_DefaultA_IPL_1,right
17Networks_RH_DefaultA_IPL_2,right
